om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
649851,2020,01,10,2020-01-10,07:42:00,3,OK,40,0,1.75,0,0,0,0,35.9000,-99.4300,35.9000,-99.4300,0,0,0,0,0,129,0,0,0
649852,2020,01,10,2020-01-10,08:10:00,3,OK,40,0,1.00,0,0,0,0,36.1000,-99.2400,36.1000,-99.2400,0,0,0,0,0,43,0,0,0
649853,2020,01,10,2020-01-10,08:15:00,3,OK,40,0,1.00,0,0,0,0,36.1900,-98.7400,36.1900,-98.7400,0,0,0,0,0,93,0,0,0
649854,2020,01,10,2020-01-10,08:20:00,3,OK,40,0,1.00,0,0,0,0,36.2300,-99.1700,36.2300,-99.1700,0,0,0,0,0,153,0,0,0
649855,2020,01,10,2020-01-10,09:45:00,3,OK,40,0,1.00,0,0,0,0,35.8900,-97.9700,35.8900,-97.9700,0,0,0,0,0,73,0,0,0
649856,2020,01,10,2020-01-10,09:45:00,3,OK,40,0,1.00,0,0,0,0,35.8600,-98.0200,35.8600,-98.0200,0,0,0,0,0,73,0,0,0
649857,2020,01,10,2020-01-10,10:23:00,3,OK,40,0,1.00,0,0,0,0,36.2500,-97.9000,36.2500,-97.9000,0,0,0,0,0,47,0,0,0
649858,2020,01,10,2020-01-10,11:35:00,3,OK,40,0,1.00,0,0,0,0,36.1514,-95.9460,36.1514,-95.9460,0,0,0,0,0,143,0,0,0
649859,2020,01,10,2020-01-10,11:36:00,3,OK,40,0,1.00,0,0,0,0,36.0690,-95.9585,36.0690,-95.9585,0,0,0,0,0,143,0,0,0
649860,2020,01,10,2020-01-10,11:38:00,3,OK,40,0,0.75,0,0,0,0,36.1790,-95.9500,36.1790,-95.9500,0,0,0,0,0,143,0,0,0
649861,2020,01,10,2020-01-10,14:40:00,3,TX,48,0,1.00,0,0,0,0,33.7700,-97.2300,33.7700,-97.2300,0,0,0,0,0,97,0,0,0
649862,2020,01,10,2020-01-10,15:02:00,3,OK,40,0,1.75,0,0,15000,0,35.9106,-94.9710,35.9106,-94.9710,0,0,0,0,0,21,0,0,0
649863,2020,01,10,2020-01-10,16:10:00,3,AR,05,0,1.00,0,0,0,0,36.1866,-94.5391,36.1866,-94.5391,0,0,0,0,0,7,0,0,0
